ham	Hola, ¿cómo estás? ¿Quieres almorzar juntos hoy?
spam	¡FELICIDADES! Has ganado $5000 USD. Envía GANADOR al 4567 para reclamar tu premio AHORA
ham	Gracias por tu mensaje. Te responderé pronto
spam	URGENT! Tu cuenta será cerrada. Haz clic aquí: http://enlace-falso.com
ham	La reunión es mañana a las 2 PM en la sala de conferencias
spam	¡GRATIS! Gana $1000 en efectivo. Texto WIN al 85023 para reclamar
ham	¿Puedes recogerme del hospital? Estoy al lado del edificio principal
spam	Congratulations! You have won a £900 prize reward! Call 09061701461 to claim
ham	Mi hermano está muy emocionado, sigue bailando por toda la casa
spam	¡PROMOCIÓN ESPECIAL! iPhone 15 GRATIS. Solo hoy. Envía SI al 5555
ham	Disculpa, llegaré 10 minutos tarde a la reunión
spam	🎉 ¡Ganaste un viaje a Europa GRATIS! Confirma enviando VIAJE al 7777
ham	¿Dónde está el carro? No está en el garaje
spam	ALERTA: Tu tarjeta de crédito ha sido bloqueada. Llama YA al 800-123-456
ham	Gracias por esta mañana, fue maravilloso estar contigo
spam	¡ÚLTIMO DÍA! Oferta especial 90% descuento. Link: bit.ly/oferta-falsa
ham	Hey, es sábado y estoy aburrido
spam	WINNER!! As a valued customer you have been selected to receive £500 cash
ham	Terminé la clase, ¿dónde estás?
spam	¡PREMIO GARANTIZADO! $2000 te esperan. Solo envía PREMIO al 9999
ham	No puedo atender el teléfono ahora. Por favor envía un mensaje
spam	Tu móvil ha sido seleccionado para recibir $1000. Envía DINERO al 1234
ham	¿Está bien esa hora para ti? ¿Cuándo quieres que nos encontremos?
spam	OFERTA LIMITADA: Préstamos sin intereses. Aprobación inmediata: 900-888-777
ham	Sí, y estoy practicando para el examen
spam	¡URGENTE! Tu WhatsApp será suspendido. Verifica tu cuenta en: link-falso.com
ham	Hola cariño, este es un mensaje de prueba para ver si funciona nuestro sistema
spam	🚨 VIRUS DETECTADO en tu celular. Descarga antivirus GRATIS: virus-fake.com
ham	Está bien, te llamo más tarde cuando termine la reunión
spam	¡Increíble! Gana hasta $5000 diarios trabajando desde casa. Info: 555-DINERO
ham	El tipo del gimnasio dijo que el corte en tu labio parece herpes
spam	FELICIDADES! Fuiste seleccionado para una tarjeta de crédito de $10000
ham	Tuve que quedarme en la oficina para terminar trabajo
spam	¡HOY ÚLTIMO DÍA! PlayStation 5 GRATIS. Participa enviando JUEGO al 3333
ham	¡Dios mío! Encontré $1000... Hmm, estaban en mi cuenta bancaria
spam	🔥 LIQUIDACIÓN TOTAL! Celulares desde $1. Stock limitado: celulares-fake.com
ham	Te veo mañana en la oficina. Que tengas buenas noches
spam	BANCO ALERTA: Transacción sospechosa detectada. Confirma tus datos: banco-fake.com
ham	Gracias por el mensaje. A las chicas de la oficina les encanta
spam	¡SORTEO MILLONARIO! Participa GRATIS. Envía SUERTE al 6666. Premios hasta $50000
ham	Perdón, llamo después, estoy en una reunión
spam	Tu número fue seleccionado para recibir $2000 en efectivo. Código: WIN2024
ham	¿Puedes contarme algo sobre ti?
spam	🎯 OFERTA EXCLUSIVA: Viagra 50% OFF. Envío discreto. Pedidos: pharma-fake.com
ham	¿Dónde estás? Estoy en casa esperándote
spam	NETFLIX GRATIS por 1 año. Confirma tu cuenta: netflix-falso.com
ham	¿Recibiste mi mensaje sobre el miércoles? Necesito saber si vienes
spam	💰 INVIERTE $100 y gana $5000 en 24 horas. Oportunidad única: inversion-fake.com
ham	Disculpa cariño, pero están reparando mi carro, no tengo opción
spam	¡EMERGENCIA! Tu cuenta bancaria será cerrada HOY. Actualiza datos: mi-banco.fake
ham	¡Hey! Mi amiga María busca compañera de piso para el próximo año
spam	🎁 REGALO ESPECIAL: AirPods Pro GRATIS. Solo paga envío $5. Link: airpods-fake.com
