label,message,message_clean,label_binary
ham,"La película estuvo muy buena, te la recomiendo",la pelcula estuvo muy buena te la recomiendo,0
spam,🏠 CASAS DESDE $5000. Financiamiento 100%. Ver catálogo: casas-fake.com,casas desde 5000 financiamiento 100 ver catlogo casasfakecom,1
spam,NETFLIX GRATIS por 1 año. Confirma tu cuenta: netflix-falso.com,netflix gratis por 1 ao confirma tu cuenta netflixfalsocom,1
spam,🏆 CAMPEÓN! Ganaste entradas VIP para el Mundial. Reclama: fifa-fake.com,campen ganaste entradas vip para el mundial reclama fifafakecom,1
spam,"CRIPTOMONEDAS: Invierte $50, gana $5000. Garantizado: crypto-fake.com",criptomonedas invierte 50 gana 5000 garantizado cryptofakecom,1
ham,"Mi hermano está muy emocionado, sigue bailando por toda la casa",mi hermano est muy emocionado sigue bailando por toda la casa,0
ham,"Hola cariño, este es un mensaje de prueba para ver si funciona",hola cario este es un mensaje de prueba para ver si funciona,0
ham,¿Quieres que vayamos al cine este fin de semana?,quieres que vayamos al cine este fin de semana,0
ham,¿Trajiste los documentos que te pedí?,trajiste los documentos que te ped,0
ham,"Disculpa cariño, pero están reparando mi carro, no tengo opción",disculpa cario pero estn reparando mi carro no tengo opcin,0
spam,¡PROMOCIÓN ESPECIAL! iPhone 15 GRATIS. Solo hoy. Envía SI al 5555,promocin especial iphone 15 gratis solo hoy enva si al 5555,1
spam,💳 TARJETA BLACK GRATIS. Límite ilimitado. Aprobación inmediata: banco-premium.fake,tarjeta black gratis lmite ilimitado aprobacin inmediata bancopremiumfake,1
ham,¿Quieres que compremos algo para la fiesta?,quieres que compremos algo para la fiesta,0
spam,¡Increíble! Gana hasta $5000 diarios trabajando desde casa. Info: 555-DINERO,increble gana hasta 5000 diarios trabajando desde casa info 555dinero,1
ham,"Gracias por escucharme, realmente necesitaba hablar",gracias por escucharme realmente necesitaba hablar,0
spam,🎁 REGALO ESPECIAL: AirPods Pro GRATIS. Solo paga envío $5. Link: airpods-fake.com,regalo especial airpods pro gratis solo paga envo 5 link airpodsfakecom,1
ham,Tuve que quedarme en la oficina para terminar trabajo,tuve que quedarme en la oficina para terminar trabajo,0
spam,CORONAVIRUS: Has estado expuesto. Haz test inmediato: covid-fake.com,coronavirus has estado expuesto haz test inmediato covidfakecom,1
spam,VIAJES GRATIS a cualquier parte del mundo. Registro: viajes-fake.com,viajes gratis a cualquier parte del mundo registro viajesfakecom,1
ham,¿A qué hora terminas el trabajo hoy?,a qu hora terminas el trabajo hoy,0
spam,MEDICINA CHINA: Cura cualquier enfermedad. Envío discreto: medicina-fake.com,medicina china cura cualquier enfermedad envo discreto medicinafakecom,1
spam,WINNER!! As a valued customer you have been selected to receive £500 cash,winner as a valued customer you have been selected to receive 500 cash,1
spam,Tu número fue seleccionado para recibir $2000 en efectivo. Código: WIN2024,tu nmero fue seleccionado para recibir 2000 en efectivo cdigo win2024,1
ham,La reunión es mañana a las 2 PM en la sala de conferencias,la reunin es maana a las 2 pm en la sala de conferencias,0
ham,Disculpa por no entender que 'no lo hemos visto en mucho tiempo',disculpa por no entender que no lo hemos visto en mucho tiempo,0
spam,Tu móvil ha sido seleccionado para recibir $1000. Envía DINERO al 1234,tu mvil ha sido seleccionado para recibir 1000 enva dinero al 1234,1
